table_schema,table_name,ordinal_position,column_name,data_type,udt_name,is_nullable,column_default
public,client_ratings,1,id,uuid,uuid,NO,gen_random_uuid()
public,client_ratings,2,client_id,uuid,uuid,NO,null
public,client_ratings,3,score,integer,int4,NO,null
public,client_ratings,4,comment,text,text,YES,null
public,client_ratings,5,created_at,timestamp with time zone,timestamptz,NO,now()
public,client_ratings,6,rental_id,uuid,uuid,YES,null
public,client_reviews,1,id,uuid,uuid,NO,gen_random_uuid()
public,client_reviews,2,client_id,uuid,uuid,NO,null
public,client_reviews,3,rental_id,uuid,uuid,YES,null
public,client_reviews,4,score,integer,int4,NO,null
public,client_reviews,5,notes,text,text,YES,null
public,client_reviews,6,created_at,timestamp with time zone,timestamptz,NO,now()
public,clients,1,id,uuid,uuid,NO,gen_random_uuid()
public,clients,2,name,text,text,NO,null
public,clients,3,phone,text,text,YES,null
public,clients,4,email,text,text,YES,null
public,clients,5,dni,text,text,YES,null
public,clients,6,address,text,text,YES,null
public,clients,7,iban,text,text,YES,null
public,clients,8,notes,text,text,YES,null
public,clients,9,rating_count,integer,int4,NO,0
public,clients,10,rating_avg,numeric,numeric,NO,0
public,clients,11,city,text,text,YES,null
public,clients,12,postal_code,text,text,YES,null
public,clients,13,province,text,text,YES,null
public,clients,14,surname,text,text,YES,null
public,crm_contacts,1,id,uuid,uuid,NO,gen_random_uuid()
public,crm_contacts,2,name,text,text,NO,null
public,crm_contacts,3,phone,text,text,YES,null
public,crm_contacts,4,email,text,text,YES,null
public,crm_contacts,5,notes,text,text,YES,null
public,crm_contacts,6,source,text,text,YES,null
public,crm_contacts,7,status,text,text,YES,'Nuevo'::text
public,crm_contacts,8,next_action_date,date,date,YES,null
public,crm_contacts,9,unit_interest,text,text,YES,null
public,crm_contacts,10,created_at,timestamp with time zone,timestamptz,YES,now()
public,crm_contacts,11,interest_level,text,text,NO,'LOW'::text
public,crm_contacts,12,contact_count,integer,int4,NO,0
public,crm_contacts,13,last_contact_date,date,date,NO,CURRENT_DATE
public,crm_contacts,14,on_waiting_list,boolean,bool,NO,false
public,crm_contacts,15,unit_size_interest_m2,numeric,numeric,YES,null
public,crm_contacts,16,location,text,text,YES,null
public,incidents,1,id,uuid,uuid,NO,gen_random_uuid()
public,incidents,2,unit_id,uuid,uuid,NO,null
public,incidents,3,client_id,uuid,uuid,YES,null
public,incidents,4,title,text,text,NO,null
public,incidents,5,description,text,text,NO,''::text
public,incidents,6,status,text,text,NO,'ABIERTO'::text
public,incidents,7,date,date,date,NO,CURRENT_DATE
public,incidents,8,created_at,timestamp with time zone,timestamptz,NO,now()
public,incidents,9,priority,text,text,NO,'MEDIA'::text
public,incidents,10,severity,text,text,NO,'LEVE'::text
public,incidents,11,resolved,boolean,bool,NO,false
public,incidents,12,resolved_date,date,date,YES,null
public,incidents,13,resolution_notes,text,text,YES,null
public,incidents,14,repair_cost,numeric,numeric,YES,null
public,incidents_view,1,id,uuid,uuid,YES,null
public,incidents_view,2,date,date,date,YES,null
public,incidents_view,3,created_at,timestamp with time zone,timestamptz,YES,null
public,incidents_view,4,title,text,text,YES,null
public,incidents_view,5,description,text,text,YES,null
public,incidents_view,6,priority,text,text,YES,null
public,incidents_view,7,status,text,text,YES,null
public,incidents_view,8,severity,text,text,YES,null
public,incidents_view,9,resolved,boolean,bool,YES,null
public,incidents_view,10,resolved_date,date,date,YES,null
public,incidents_view,11,unit_id,uuid,uuid,YES,null
public,incidents_view,12,unit_code,text,text,YES,null
public,incidents_view,13,client_id,uuid,uuid,YES,null
public,incidents_view,14,client_name,text,text,YES,null
public,invoice_counters,1,year,integer,int4,NO,null
public,invoice_counters,2,last_no,integer,int4,NO,0
public,invoices,1,id,uuid,uuid,NO,gen_random_uuid()
public,invoices,2,rental_id,uuid,uuid,YES,null
public,invoices,3,number,text,text,YES,null
public,invoices,4,issue_date,date,date,NO,now()
public,invoices,5,amount,numeric,numeric,NO,null
public,invoices,6,paid,boolean,bool,YES,false
public,invoices,7,status,text,text,NO,'PENDIENTE'::text
public,invoices,8,due_date,date,date,YES,null
public,invoices,9,notes,text,text,YES,null
public,invoices,10,client_id,uuid,uuid,YES,null
public,invoices,11,unit_code,text,text,YES,null
public,invoices,12,unit_id,uuid,uuid,YES,null
public,invoices,13,subject,text,text,YES,null
public,invoices,14,created_at,timestamp with time zone,timestamptz,YES,now()
public,invoices,15,period_month,date,date,YES,null
public,invoices_enriched,1,id,uuid,uuid,YES,null
public,invoices_enriched,2,client_id,uuid,uuid,YES,null
public,invoices_enriched,3,client_name,text,text,YES,null
public,invoices_enriched,4,unit_id,uuid,uuid,YES,null
public,invoices_enriched,5,unit_code,text,text,YES,null
public,invoices_enriched,6,number,text,text,YES,null
public,invoices_enriched,7,amount,numeric,numeric,YES,null
public,invoices_enriched,8,issue_date,date,date,YES,null
public,invoices_enriched,9,due_date,date,date,YES,null
public,invoices_enriched,10,status,text,text,YES,null
public,invoices_enriched,11,notes,text,text,YES,null
public,invoices_enriched,12,paid,boolean,bool,YES,null
public,invoices_view,1,id,uuid,uuid,YES,null
public,invoices_view,2,rental_id,uuid,uuid,YES,null
public,invoices_view,3,client_id,uuid,uuid,YES,null
public,invoices_view,4,unit_id,uuid,uuid,YES,null
public,invoices_view,5,number,text,text,YES,null
public,invoices_view,6,amount,numeric,numeric,YES,null
public,invoices_view,7,issue_date,date,date,YES,null
public,invoices_view,8,due_date,date,date,YES,null
public,invoices_view,9,status,text,text,YES,null
public,invoices_view,10,notes,text,text,YES,null
public,invoices_view,11,paid,boolean,bool,YES,null
public,invoices_view,12,period_month,date,date,YES,null
public,invoices_view,13,created_at,timestamp with time zone,timestamptz,YES,null
public,invoices_view,14,client_name,text,text,YES,null
public,invoices_view,15,unit_code,text,text,YES,null
public,occupancy_daily,1,day,date,date,YES,null
public,occupancy_daily,2,occupied_units,bigint,int8,YES,null
public,payments,1,id,uuid,uuid,NO,gen_random_uuid()
public,payments,2,invoice_id,uuid,uuid,NO,null
public,payments,3,paid_at,timestamp with time zone,timestamptz,NO,now()
public,payments,4,amount,numeric,numeric,NO,null
public,payments,5,method,USER-DEFINED,payment_method,YES,null
public,payments,6,notes,text,text,YES,null
public,payments,7,created_at,timestamp with time zone,timestamptz,YES,now()
public,payments,8,payment_date,date,date,NO,CURRENT_DATE
public,payments,9,date,date,date,NO,null
public,rentals,1,id,uuid,uuid,NO,gen_random_uuid()
public,rentals,2,unit_id,uuid,uuid,NO,null
public,rentals,3,client_id,uuid,uuid,NO,null
public,rentals,4,start_date,date,date,NO,null
public,rentals,5,end_date,date,date,YES,null
public,rentals,6,price,numeric,numeric,NO,null
public,rentals,7,deposit,numeric,numeric,YES,0
public,rentals,8,status,text,text,NO,'Activo'::text
public,rentals,9,deposit_returned,boolean,bool,YES,false
public,rentals,10,deposit_return_date,date,date,YES,null
